subject,n_epochs,n_rest,n_move,class_balance,svm_acc,erd_mu,erd_beta,mean_mu_logvar,mean_beta_logvar,feat_std,max_amp_uV,n_flat_ch,n_runs_used
S086,180,90,90,0.5,0.7833,0.0503,0.1882,-22.5711,-22.6613,0.7965,752.0,0,6
S087,180,90,90,0.5,0.5833,-0.0773,-0.0665,-21.989,-21.8658,0.5553,596.0,0,6
S089,194,97,97,0.5,0.9175,-0.0254,-0.1373,-25.8126,-25.4982,0.458,140.0,0,6
S090,180,90,90,0.5,0.7278,-0.1776,-0.1395,-22.0663,-22.2419,0.5389,670.0,0,6
S091,180,90,90,0.5,0.7222,-0.0934,-0.0853,-21.7042,-21.601,0.5583,682.0,0,6
S093,180,90,90,0.5,0.7167,-0.1729,-0.0992,-23.8017,-24.0044,0.5597,291.0,0,6
S094,180,90,90,0.5,0.8333,-0.1709,-0.2549,-21.7736,-21.9703,0.6977,846.0,0,6
S095,180,90,90,0.5,0.65,-0.0382,-0.0705,-21.4146,-21.3866,0.3182,799.0,0,6
S096,180,90,90,0.5,0.7333,-0.055,-0.0479,-21.6517,-21.6341,0.5585,802.0,0,6
S097,180,90,90,0.5,0.6722,0.1078,0.0455,-22.5036,-22.5807,0.7733,639.0,0,6
S098,180,90,90,0.5,0.8444,-0.2019,-0.0687,-23.5151,-24.2074,0.8406,155.0,0,6
S099,180,90,90,0.5,0.6389,-0.066,-0.0722,-21.3915,-21.1613,0.6636,806.0,0,6
S101,180,90,90,0.5,0.6389,-0.0536,-0.068,-22.6282,-22.3781,0.4014,643.0,0,6
S102,174,90,84,0.4827586206896552,0.8156,-0.0192,-0.1527,-24.682,-24.786,0.3987,152.0,0,6
S103,180,90,90,0.5,0.6556,0.0485,-0.0646,-21.2666,-21.7054,0.5815,805.0,0,6
S104,175,88,87,0.49714285714285716,0.8229,-0.1294,-0.137,-22.7558,-23.1241,0.5077,313.0,0,6
S105,180,90,90,0.5,0.7667,-0.0827,-0.1423,-23.14,-23.6873,0.9436,329.0,0,6
S106,180,90,90,0.5,0.6556,-0.2301,-0.1253,-22.0901,-22.4904,0.6725,638.0,0,6
S107,180,90,90,0.5,0.5444,-0.0454,0.0192,-21.6883,-21.9746,0.6006,802.0,0,6
S108,180,90,90,0.5,0.6444,-0.0389,-0.0506,-22.319,-22.3351,0.6898,805.0,0,6
S109,180,90,90,0.5,0.5722,-0.054,-0.0316,-22.9819,-22.7837,0.7679,397.0,0,6
